"Player","Team","REC","YDS","TDS","FL","FPTS"
"Davis Allen","LAR","16.9","157.3","1.9","0.0","35.4"
"","high","26.0","241.0","3.0","0.0","42.5"
"","low","7.8","73.7","0.7","0.1","20.2"
"Ben Sims","MIA","19.5","184.6","1.2","0.0","35.1"
"","high","32.0","304.0","2.0","0.0","42.7"
"","low","7.0","65.3","0.3","0.1","18.2"
"Ja'Tavion Sanders","CAR","22.3","178.1","1.0","0.1","35.0"
"","high","25.0","192.0","1.1","0.0","33.9"
"","low","19.5","164.3","1.0","0.1","29.1"
"Elijah Higgins","ARI","22.0","196.0","0.8","0.6","34.5"
"","high","23.0","210.0","1.0","0.2","33.0"
"","low","20.9","182.1","0.7","1.0","28.0"
"John Bates","WAS","17.1","169.9","1.6","0.6","33.9"
"","high","20.0","204.0","2.0","0.1","31.5"
"","low","14.1","135.8","1.2","1.0","29.0"
"Jake Tonges","SF","16.7","167.2","1.3","0.0","33.1"
"","high","25.0","265.0","2.0","0.0","59.4"
"","low","12.0","102.0","1.0","0.1","18.4"
"Jeremy Ruckert","NYJ","19.7","146.3","1.3","0.0","32.1"
"","high","27.0","196.0","2.0","0.0","33.9"
"","low","12.4","96.7","0.6","0.1","22.8"
"Drew Sample","CIN","17.3","146.3","1.2","0.1","30.1"
"","high","17.3","146.3","1.2","0.1","30.2"
"","low","17.3","146.3","1.2","0.1","30.2"
"Nate Boerkircher","JAC","14.9","156.8","1.3","0.5","29.8"
"","high","22.0","240.0","2.0","0.1","33.5"
"","low","7.8","73.6","0.6","1.0","18.1"
"Connor Heyward","LV","14.0","103.0","2.0","0.0","29.3"
"","high","14.0","103.0","2.0","0.0","30.0"
"","low","14.0","103.0","2.0","0.0","30.0"
"Nick Vannett","SEA","10.0","95.0","2.0","0.0","26.5"
"","high","10.0","95.0","2.0","0.0","21.0"
"","low","10.0","95.0","2.0","0.0","21.0"
"Cade Stover","HOU","15.3","130.8","0.9","0.1","25.8"
"","high","15.5","133.7","1.0","0.0","26.9"
"","low","15.0","128.0","0.7","0.1","19.6"
"Nate Adkins","DEN","11.9","88.4","1.8","0.0","25.8"
"","high","16.0","108.0","3.0","0.0","28.0"
"","low","7.8","68.8","0.7","0.1","16.8"
"Jackson Hawes","BUF","10.5","115.1","1.4","0.0","25.4"
"","high","11.1","120.0","2.0","0.0","22.3"
"","low","10.0","110.1","0.9","0.1","21.6"
"Ben Sinnott","WAS","11.1","114.4","1.4","0.0","25.3"
"","high","11.1","122.0","2.0","0.0","22.5"
"","low","11.0","106.7","0.8","0.1","21.1"
"Zack Kuntz","DAL","12.0","128.0","1.0","0.0","24.8"
"","high","12.0","128.0","1.0","0.0","17.0"
"","low","12.0","128.0","1.0","0.0","17.0"
"Jack Endries","CIN","13.0","123.0","1.0","0.0","24.8"
"","high","13.0","123.0","1.0","0.0","17.5"
"","low","13.0","123.0","1.0","0.0","17.5"
"Luke Schoonmaker","DAL","13.2","121.5","0.9","0.0","24.4"
"","high","15.0","133.0","1.0","0.0","22.9"
"","low","11.4","110.0","0.9","0.1","17.6"
"Will Mallory","IND","11.0","125.0","1.0","0.0","24.0"
"","high","11.0","125.0","1.0","0.0","16.5"
"","low","11.0","125.0","1.0","0.0","16.5"
"Hayden Rucci","SF","12.0","118.0","1.0","0.0","23.8"
"","high","12.0","118.0","1.0","0.0","16.0"
"","low","12.0","118.0","1.0","0.0","16.0"
"Charlie Woerner","ATL","14.5","127.4","0.6","0.0","23.5"
"","high","25.0","222.0","1.0","0.0","28.2"
"","low","3.9","32.7","0.2","0.0","11.5"
"Grant Calcaterra","PHI","11.0","115.0","1.0","0.0","23.0"
"","high","22.0","230.0","2.0","0.0","32.5"
"","low","0.0","0.0","0.0","0.0","5.5"
"Foster Moreau","HOU","9.3","105.5","1.3","0.0","22.9"
"","high","11.0","132.0","2.0","0.0","21.7"
"","low","7.7","79.0","0.6","0.1","16.1"
"Bauer Sharp","TB","11.0","113.0","1.0","0.0","22.8"
"","high","11.0","113.0","1.0","0.0","15.5"
"","low","11.0","113.0","1.0","0.0","15.5"
"Tanner Hudson","CIN","13.1","110.3","0.9","0.1","22.8"
"","high","13.1","110.3","0.9","0.1","22.9"
"","low","13.1","110.3","0.9","0.1","22.9"
"Cam Grandy","CIN","13.0","100.0","1.0","0.0","22.5"
"","high","13.0","100.0","1.0","0.0","16.5"
"","low","13.0","100.0","1.0","0.0","16.5"
"Dallen Bentley","DEN","12.0","105.0","1.0","0.0","22.5"
"","high","12.0","105.0","1.0","0.0","16.0"
"","low","12.0","105.0","1.0","0.0","16.0"
"Tanner Conner","NYG","10.0","113.0","1.0","0.0","22.3"
"","high","10.0","113.0","1.0","0.0","15.0"
"","low","10.0","113.0","1.0","0.0","15.0"
"Mo Alie-Cox","IND","10.7","113.9","0.9","0.1","22.1"
"","high","10.7","113.9","0.9","0.1","22.2"
"","low","10.7","113.9","0.9","0.1","22.2"
"Thomas Fidone II","NYG","10.0","101.0","1.0","0.0","21.1"
"","high","10.0","101.0","1.0","0.0","15.0"
"","low","10.0","101.0","1.0","0.0","15.0"
"Jared Wiley","KC","11.0","96.0","1.0","0.0","21.1"
"","high","11.0","96.0","1.0","0.0","15.5"
"","low","11.0","96.0","1.0","0.0","15.5"
"Jaheim Bell","PIT","10.0","98.0","1.0","0.0","20.8"
"","high","10.0","98.0","1.0","0.0","15.0"
"","low","10.0","98.0","1.0","0.0","15.0"
"Drake Dabney","GB","10.0","95.0","1.0","0.0","20.5"
"","high","10.0","95.0","1.0","0.0","15.0"
"","low","10.0","95.0","1.0","0.0","15.0"
"Seydou Traore","MIA","9.0","88.0","1.0","0.0","19.3"
"","high","9.0","88.0","1.0","0.0","14.5"
"","low","9.0","88.0","1.0","0.0","14.5"
"Durham Smythe","BAL","9.8","94.0","0.7","0.1","18.6"
"","high","9.8","94.0","0.7","0.1","18.7"
"","low","9.8","94.0","0.7","0.1","18.7"
"Mitchell Evans","CAR","8.0","71.5","1.0","0.0","17.2"
"","high","16.0","143.0","2.0","0.0","22.0"
"","low","0.0","0.0","0.0","0.0","4.0"
"Payne Durham","TB","7.6","80.8","0.8","0.0","16.7"
"","high","8.0","91.0","1.0","0.0","14.7"
"","low","7.2","70.6","0.6","0.1","13.8"
"Max Klare","LAR","8.0","82.6","0.7","0.0","16.3"
"","high","12.0","127.0","1.0","0.0","15.0"
"","low","4.0","38.2","0.4","0.0","9.9"
"Justin Joly","DEN","8.0","71.4","0.7","0.0","15.0"
"","high","12.0","105.0","1.0","0.0","14.0"
"","low","4.0","37.9","0.3","0.0","9.6"
"Devin Culp","TB","5.5","59.0","1.0","0.0","14.7"
"","high","11.0","118.0","2.0","0.0","18.8"
"","low","0.0","0.0","0.0","0.0","2.8"
"Oscar Delp","NO","7.8","74.1","0.5","0.1","14.1"
"","high","7.8","74.1","0.5","0.1","14.1"
"","low","7.8","74.1","0.5","0.1","14.1"
"Tip Reiman","ARI","7.9","62.2","0.6","0.0","13.7"
"","high","12.0","90.0","1.0","0.0","14.0"
"","low","3.8","34.4","0.2","0.0","8.5"
"Jack Stoll","CLE","7.8","63.2","0.6","0.0","13.7"
"","high","12.0","96.0","1.0","0.0","13.9"
"","low","3.6","30.4","0.2","0.0","7.9"
