"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"","high","466.0","299.0","3455.0","24.0","7.0","25.0","54.0","0.3","2.0","254.0"
"","low","301.7","204.1","2170.7","10.4","10.0","15.9","42.0","0.0","2.5","114.9"
"Deshaun Watson","CLE","342.4","210.8","2246.1","11.8","8.3","49.7","218.6","1.3","3.8","150.7"
"","high","428.0","257.0","2653.0","17.0","7.0","60.0","256.0","2.0","2.7","200.0"
"","low","288.0","184.0","2040.4","8.3","11.0","42.0","189.0","1.0","5.0","123.9"
"Shedeur Sanders","CLE","202.2","122.4","1364.1","7.1","5.5","21.1","122.3","0.5","1.2","90.7"
"","high","268.0","156.0","1798.0","10.0","3.0","32.0","182.0","1.0","1.0","136.1"
"","low","107.0","64.0","663.0","4.0","8.0","10.0","65.0","0.0","1.4","36.0"
"Michael Penix Jr.","ATL","188.7","119.1","1349.5","7.2","3.7","13.5","46.9","0.3","1.0","83.5"
"","high","265.2","168.3","1884.4","9.5","2.0","19.4","76.8","0.9","0.0","113.6"
"","low","82.0","53.0","609.0","4.0","5.1","6.0","18.0","0.0","1.9","37.0"
"Kirk Cousins","LV","114.3","74.2","784.5","5.0","3.9","5.2","9.0","0.1","0.9","47.2"
"","high","121.0","78.7","844.0","6.0","2.7","7.0","11.0","0.3","0.9","58.5"
"","low","103.0","69.0","677.0","4.1","5.0","3.0","7.0","0.0","1.0","38.0"
"Ty Simpson","LAR","40.9","25.8","298.2","2.6","0.8","4.1","18.4","0.0","0.1","23.4"
"","high","60.0","38.0","450.0","4.0","0.6","7.0","32.0","0.1","0.0","34.0"
"","low","21.9","13.5","146.4","1.2","1.0","1.1","4.8","0.0","0.2","10.0"
"Carson Beck","ARI","49.0","30.9","338.5","2.2","1.2","5.2","20.1","0.1","0.2","23.2"
"","high","66.1","40.8","450.5","3.0","0.0","7.0","29.4","0.3","0.0","32.4"
"","low","18.0","12.0","116.0","1.0","2.0","2.0","7.0","0.0","0.5","8.0"
"J.J. McCarthy","MIN","48.6","30.2","340.3","1.8","1.4","5.9","27.0","0.2","0.4","22.5"
"","high","85.7","54.5","598.8","3.4","1.0","9.8","43.9","0.6","0.0","39.8"
"","low","19.0","12.0","136.0","1.0","2.3","4.0","18.0","0.0","0.8","7.0"
"Marcus Mariota","WAS","34.3","21.7","254.0","2.0","0.8","1.4","7.9","0.0","0.1","18.0"
"","high","46.0","29.0","342.0","3.0","0.7","1.8","9.8","0.1","0.0","21.0"
"","low","22.6","14.3","166.1","1.0","1.0","1.0","6.0","0.0","0.2","10.2"
"Riley Leonard","IND","27.3","17.2","192.8","1.3","0.5","2.7","11.5","0.0","0.6","12.4"
"","high","37.0","23.0","259.0","2.0","0.0","5.0","20.0","0.1","0.2","19.3"
"","low","22.0","14.0","158.5","0.8","1.0","1.2","5.5","0.0","1.0","7.0"
"Justin Fields","KC","26.2","16.3","175.2","1.0","0.8","3.6","18.4","0.1","0.1","12.1"
"","high","35.0","22.0","237.0","1.0","0.4","4.0","21.0","0.2","0.0","15.4"
"","low","20.6","12.8","140.5","0.9","1.0","2.8","15.3","0.0","0.2","7.0"
"Shane Buechele","BUF","20.0","14.0","151.0","1.0","0.0","4.0","20.0","0.0","0.0","12.0"
"","high","20.0","14.0","151.0","1.0","0.0","4.0","20.0","0.0","0.0","9.0"
"","low","20.0","14.0","151.0","1.0","0.0","4.0","20.0","0.0","0.0","9.0"
"Jameis Winston","NYG","26.1","15.5","194.7","1.3","1.3","2.6","10.9","0.0","0.6","11.7"
"","high","35.0","20.0","277.0","2.0","0.9","5.0","22.0","0.0","0.2","19.9"
"","low","21.0","13.0","144.0","0.9","2.0","0.7","2.7","0.0","1.0","5.0"
"Quinn Ewers","MIA","24.5","16.0","167.7","1.2","0.9","3.0","11.7","0.0","0.1","11.6"
"","high","32.0","21.0","226.0","2.0","0.6","4.0","19.0","0.0","0.0","18.2"
"","low","19.0","13.0","124.0","0.6","1.0","1.0","4.0","0.0","0.2","7.0"
"Tyson Bagent","CHI","23.0","15.1","169.6","1.0","0.2","2.8","8.6","0.0","0.1","11.5"
"","high","26.0","17.0","195.0","1.0","0.0","5.0","14.0","0.1","0.0","12.4"
"","low","21.0","14.0","155.9","1.0","0.6","1.5","5.9","0.0","0.2","8.0"
"Will Levis","TEN","23.0","14.0","136.0","1.0","0.0","4.0","19.0","0.0","0.0","11.3"
"","high","23.0","14.0","136.0","1.0","0.0","4.0","19.0","0.0","0.0","9.0"
"","low","23.0","14.0","136.0","1.0","0.0","4.0","19.0","0.0","0.0","9.0"
"Jake Browning","TB","22.5","14.3","157.4","1.0","0.9","3.1","15.7","0.0","0.1","11.2"
"","high","23.0","14.6","162.7","1.1","0.7","5.0","26.0","0.1","0.0","10.3"
"","low","21.9","14.0","152.0","1.0","1.0","1.3","5.5","0.0","0.1","7.0"
"Jarrett Stidham","DEN","23.1","14.4","152.3","1.1","0.3","3.3","12.9","0.0","0.1","11.2"
"","high","24.0","15.0","161.5","1.1","0.0","5.0","19.0","0.1","0.0","10.4"
"","low","22.2","13.8","143.0","1.0","0.6","1.7","6.8","0.0","0.2","9.0"
"Davis Mills","HOU","26.1","16.0","175.9","0.9","0.5","2.7","9.0","0.0","0.1","11.1"
"","high","32.0","20.0","221.0","1.0","0.0","5.0","19.0","0.0","0.0","13.2"
"","low","23.0","14.0","146.6","0.8","1.0","1.0","3.9","0.0","0.1","8.4"
"Tyrod Taylor","GB","25.0","15.4","173.5","0.9","0.8","2.1","10.7","0.0","0.2","10.9"
"","high","30.0","18.0","211.0","1.0","0.5","2.3","12.4","0.1","0.2","13.3"
"","low","20.0","12.7","135.9","0.9","1.0","2.0","9.0","0.0","0.2","9.2"
"Joshua Dobbs","DET","21.7","14.8","156.5","1.0","0.3","3.3","7.9","0.1","0.1","10.7"
"","high","22.0","16.0","180.0","1.0","0.0","5.0","9.0","0.1","0.0","8.7"
"","low","21.3","13.5","132.9","0.9","0.6","1.5","6.8","0.0","0.2","8.0"
"Tommy DeVito","NE","22.5","14.7","149.9","1.0","0.4","1.9","9.5","0.1","0.1","10.6"
"","high","22.5","14.7","149.9","1.0","0.4","1.9","9.5","0.1","0.1","10.3"
"","low","22.5","14.7","149.9","1.0","0.4","1.9","9.5","0.1","0.1","10.3"
"Tyler Huntley","BAL","18.3","11.8","130.8","0.9","0.3","3.5","18.7","0.0","0.1","10.6"
"","high","19.5","12.6","133.0","1.0","0.0","5.0","28.0","0.1","0.0","9.0"
"","low","17.0","11.0","128.7","0.9","0.5","2.0","9.5","0.0","0.1","8.7"
"Mac Jones","SF","22.5","14.9","160.2","1.0","0.5","2.7","8.4","0.0","0.1","10.5"
"","high","23.0","15.0","168.0","1.0","0.0","5.0","18.0","0.0","0.0","11.2"
"","low","22.0","14.8","145.7","1.0","1.0","1.0","2.2","0.0","0.1","7.0"
"Trey Lance","LAC","22.2","13.6","148.3","1.0","0.8","2.7","12.9","0.0","0.1","10.4"
"","high","22.4","14.0","149.0","1.0","0.6","4.0","19.0","0.1","0.0","9.4"
"","low","22.0","13.2","147.5","1.0","1.0","1.5","6.8","0.0","0.1","7.0"
"Anthony Richardson Sr.","IND","16.0","10.0","109.0","1.0","0.0","5.0","20.0","0.0","0.0","10.4"
"","high","16.0","10.0","109.0","1.0","0.0","5.0","20.0","0.0","0.0","8.0"
"","low","16.0","10.0","109.0","1.0","0.0","5.0","20.0","0.0","0.0","8.0"
"Joe Flacco","CIN","24.9","16.1","169.4","1.2","0.8","2.2","8.6","0.0","0.6","10.3"
"","high","25.0","17.0","174.0","1.3","0.7","4.0","16.0","0.0","0.2","10.5"
"","low","24.7","15.3","164.8","1.0","1.0","0.4","1.2","0.0","1.0","4.0"
"Tanner McKee","PHI","20.3","12.8","141.0","1.0","0.2","3.0","9.9","0.0","0.0","10.3"
"","high","21.7","13.7","153.0","1.0","0.0","5.0","16.0","0.0","0.0","9.5"
"","low","19.0","12.0","129.0","1.0","0.5","1.0","3.7","0.0","0.1","8.0"
"Kenny Pickett","CAR","22.9","14.4","157.9","1.0","0.8","2.8","10.6","0.0","0.1","10.3"
"","high","25.0","16.0","185.0","1.0","0.5","4.0","22.0","0.0","0.0","12.0"
"","low","21.0","13.0","135.0","0.9","1.0","1.3","3.7","0.0","0.2","7.0"
"Spencer Rattler","NO","22.9","14.9","157.2","0.9","0.8","2.7","12.1","0.0","0.1","10.2"
"","high","23.0","15.0","161.0","1.0","0.5","4.0","17.0","0.0","0.0","9.0"
"","low","22.8","14.9","153.5","0.8","1.0","1.3","7.1","0.0","0.2","7.0"
"Sam Howell","DAL","21.9","13.8","144.5","1.1","0.7","1.3","6.9","0.1","0.1","10.2"
"","high","21.9","13.8","144.5","1.1","0.7","1.3","6.9","0.1","0.1","9.6"
"","low","21.9","13.8","144.5","1.1","0.7","1.3","6.9","0.1","0.1","9.6"
"Drew Lock","SEA","20.6","13.0","146.7","0.9","0.8","3.1","13.1","0.0","0.1","10.0"
"","high","21.2","13.0","159.0","1.0","0.6","5.0","21.0","0.1","0.0","8.0"
"","low","20.0","12.9","134.3","0.8","1.0","1.2","5.2","0.0","0.2","7.0"
"Andy Dalton","PHI","19.0","13.0","140.0","1.0","0.0","5.0","23.0","0.0","1.0","9.9"
"","high","19.0","13.0","140.0","1.0","0.0","5.0","23.0","0.0","1.0","7.0"
