"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Adonai Mitchell","NYJ","39.7","548.8","3.3","2.1","5.1","0.1","0.7","94.0"
"","high","41.5","617.5","3.6","2.2","11.2","0.1","0.5","105.1"
"","low","38.0","480.0","3.0","2.0","-1.0","0.0","1.0","74.9"
"Caleb Douglas","MIA","44.3","589.8","2.2","0.0","0.0","0.0","0.5","93.2"
"","high","44.3","589.8","2.2","0.0","0.0","0.0","0.5","93.5"
"","low","44.3","589.8","2.2","0.0","0.0","0.0","0.5","93.5"
"Kayshon Boutte","NE","33.2","501.5","4.3","0.0","0.0","0.0","0.1","92.5"
"","high","36.0","589.0","6.0","0.0","0.0","0.0","0.0","102.6"
"","low","30.3","414.0","2.7","0.0","0.0","0.0","0.3","73.8"
"Jaylin Noel","HOU","41.6","484.3","3.4","5.1","17.6","0.1","0.2","91.1"
"","high","43.3","493.7","4.0","6.0","22.2","0.1","0.0","90.8"
"","low","40.0","475.0","2.7","4.2","13.0","0.0","0.5","82.8"
"Travis Hunter","JAC","41.6","496.6","3.3","2.0","10.8","0.1","0.4","91.0"
"","high","41.6","496.6","3.3","2.0","10.8","0.1","0.4","92.3"
"","low","41.6","496.6","3.3","2.0","10.8","0.1","0.4","92.3"
"Malik Washington","MIA","45.6","414.2","2.4","13.5","80.3","0.7","0.8","89.2"
"","high","46.0","479.4","3.0","14.0","83.0","1.0","0.6","93.5"
"","low","45.2","349.0","1.8","12.9","77.7","0.4","1.0","74.8"
"Germie Bernard","PIT","41.2","507.7","2.9","2.1","10.8","0.0","0.7","88.6"
"","high","42.0","511.0","3.0","2.2","11.7","0.1","0.4","89.0"
"","low","40.4","504.4","2.8","2.0","10.0","0.0","1.0","80.6"
"Dontayvion Wicks","PHI","39.5","517.8","2.9","0.0","0.0","0.0","0.4","88.2"
"","high","39.5","517.8","2.9","0.0","0.0","0.0","0.4","88.5"
"","low","39.5","517.8","2.9","0.0","0.0","0.0","0.4","88.5"
"Jordyn Tyson","NO","37.8","529.1","2.9","0.5","3.5","0.0","0.7","87.9"
"","high","40.0","574.0","3.0","1.0","7.0","0.0","0.4","83.1"
"","low","35.6","484.2","2.7","0.0","0.0","0.0","1.0","82.9"
"Bub Means","NO","38.0","519.0","3.0","1.0","6.0","0.0","1.0","87.5"
"","high","38.0","519.0","3.0","1.0","6.0","0.0","1.0","79.0"
"","low","38.0","519.0","3.0","1.0","6.0","0.0","1.0","79.0"
"Antonio Williams","WAS","35.5","497.2","3.1","3.5","18.7","0.1","1.2","86.4"
"","high","45.0","650.0","4.0","4.1","22.4","0.2","0.3","93.7"
"","low","25.9","344.5","2.3","3.0","15.0","0.0","2.0","69.6"
"Darius Slayton","NYG","35.8","526.4","2.0","1.6","8.6","0.0","0.7","82.3"
"","high","40.0","613.0","2.0","2.2","12.2","0.1","0.4","80.9"
"","low","31.5","439.9","2.0","1.0","5.0","0.0","1.0","75.1"
"Tyquan Thornton","KC","25.4","467.1","3.5","0.0","0.0","0.0","0.1","80.1"
"","high","27.0","575.0","4.0","0.0","0.0","0.0","0.0","85.7"
"","low","23.8","359.3","3.0","0.0","0.0","0.0","0.2","66.4"
"Tory Horton","SEA","30.3","401.5","4.2","0.5","3.0","0.0","0.6","79.3"
"","high","39.0","504.0","6.0","1.0","6.0","0.0","0.2","90.2"
"","low","21.6","299.0","2.3","0.0","0.0","0.0","1.0","59.0"
"Troy Franklin","DEN","36.5","402.7","3.4","3.0","10.8","0.0","0.6","79.0"
"","high","56.0","589.0","5.0","4.0","11.0","0.1","0.2","96.2"
"","low","17.0","216.4","1.8","2.1","10.6","0.0","1.0","52.0"
"Chris Bell","MIA","35.4","445.9","2.6","1.0","5.5","0.0","0.6","77.1"
"","high","47.0","582.0","4.0","2.0","11.0","0.0","0.2","89.7"
"","low","23.8","309.8","1.2","0.0","0.0","0.0","1.0","55.3"
"Xavier Legette","CAR","35.9","417.5","2.6","2.1","10.8","0.1","0.4","75.8"
"","high","35.9","417.5","2.6","2.1","10.8","0.1","0.4","76.2"
"","low","35.9","417.5","2.6","2.1","10.8","0.1","0.4","76.2"
"Omar Cooper Jr.","NYJ","34.6","410.3","2.9","2.1","12.5","0.1","0.6","75.8"
"","high","44.0","520.0","4.0","2.2","13.0","0.1","0.3","83.3"
"","low","25.2","300.7","1.7","2.0","12.0","0.0","1.0","59.4"
"Jahan Dotson","ATL","35.2","443.3","2.3","0.0","0.0","0.0","0.3","74.9"
"","high","35.2","443.3","2.3","0.0","0.0","0.0","0.3","75.2"
"","low","35.2","443.3","2.3","0.0","0.0","0.0","0.3","75.2"
"Xavier Hutchinson","HOU","34.0","423.4","2.2","2.1","14.2","0.0","0.1","74.2"
"","high","43.0","536.0","3.0","2.1","16.0","0.1","0.0","81.0"
"","low","25.0","310.8","1.5","2.0","12.4","0.0","0.2","58.4"
"Christian Kirk","SF","34.5","406.4","2.6","0.0","0.0","0.0","0.1","73.2"
"","high","56.0","637.0","4.0","0.0","0.0","0.0","0.0","96.3"
"","low","13.1","175.7","1.1","0.0","0.0","0.0","0.1","41.5"
"Tre' Harris","LAC","34.5","410.5","2.5","0.0","0.0","0.0","0.4","72.5"
"","high","34.5","410.5","2.5","0.0","0.0","0.0","0.4","72.6"
"","low","34.5","410.5","2.5","0.0","0.0","0.0","0.4","72.6"
"Isaac TeSlaa","DET","25.4","352.4","4.1","0.0","0.0","0.0","0.1","72.4"
"","high","27.0","404.0","5.0","0.0","0.0","0.0","0.0","74.7"
"","low","23.8","300.7","3.2","0.0","0.0","0.0","0.2","61.8"
"Ryan Flournoy","DAL","33.8","383.0","2.7","2.2","12.4","0.1","0.4","72.3"
"","high","33.8","383.0","2.7","2.2","12.4","0.1","0.4","72.4"
"","low","33.8","383.0","2.7","2.2","12.4","0.1","0.4","72.4"
"Jalen Tolbert","MIA","33.9","420.3","1.7","0.0","0.0","0.0","0.3","68.5"
"","high","33.9","420.3","1.7","0.0","0.0","0.0","0.3","68.7"
